Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00216.c,00216.c,0.0012250188738107681,0.0014731697738170624,0.0012987945228815079,0.0012878719717264175,0.0013298466801643372,0.001339651644229889,0.0013130344450473785,0.001321384683251381,0.001262381672859192,0.0013068914413452148,0.0012869499623775482,0.001331239938735962
00217.c,00217.c,0.0010737180709838867,0.0010122545063495636,0.0010689254850149155,0.0011614654213190079,0.0012925062328577042,0.0012915488332509995,0.001240793615579605,0.001090511679649353,0.001108948141336441,0.0010895617306232452,0.00102199986577034,0.001085510477423668
00218.c,00218.c,0.001061292365193367,0.0011587198823690414,0.0010674148797988892,0.0010149478912353516,0.0010701511055231094,0.0010670199990272522,0.001165691763162613,0.0010500401258468628,0.001026025041937828,0.0010865535587072372,0.001055372878909111,0.0009869113564491272
00219.c,00219.c,0.0011894088238477707,0.0010658614337444305,0.0009887069463729858,0.0010909531265497208,0.0011229943484067917,0.0012271832674741745,0.0012244079262018204,0.0011953935027122498,0.00109001062810421,0.0011680275201797485,0.0010958462953567505,0.001167023554444313
00220.c,00220.c,0.0012071002274751663,0.001117439940571785,0.0008899159729480743,0.0009734667837619781,0.0010403133928775787,0.0010275226086378098,0.0010746996849775314,0.0011685993522405624,0.0010498091578483582,0.0010779518634080887,0.001073623076081276,0.00106123648583889
nestedLoop.c,nestedLoop.c,0.0011154469102621078,0.0011574290692806244,0.0009579863399267197,0.00104612298309803,0.0011061225086450577,0.0009254366159439087,0.0012094024568796158,0.0011118929833173752,0.001058405265212059,0.0009501874446868896,0.000982942059636116,0.0010686218738555908
recursion.c,recursion.c,0.0010131187736988068,0.00097646564245224,0.0010165311396121979,0.000890703871846199,0.0010160021483898163,0.0010079331696033478,0.0011091474443674088,0.0010011997073888779,0.0010076183825731277,0.0011252034455537796,0.0011015497148036957,0.001254308968782425
select.c,select.c,0.001108245924115181,0.001122480258345604,0.001133803278207779,0.0011872537434101105,0.0011778101325035095,0.0011980626732110977,0.0011363420635461807,0.001284947618842125,0.0011253859847784042,0.0011132452636957169,0.0010267943143844604,0.0010149963200092316
test10.c,test10.c,0.001254906877875328,0.0012135747820138931,0.0012104660272598267,0.0011287517845630646,0.0012110210955142975,0.0013965927064418793,0.0012622736394405365,0.0012250561267137527,0.0012536905705928802,0.0012373179197311401,0.001204879954457283,0.0012182686477899551
test11.c,test11.c,0.0013292338699102402,0.001266060397028923,0.0011118724942207336,0.0011554509401321411,0.0011933483183383942,0.0010081380605697632,0.0012276936322450638,0.0012101773172616959,0.0013009756803512573,0.001254785805940628,0.0013289060443639755,0.001064784824848175
test12.c,test12.c,0.0011322442442178726,0.001226743683218956,0.0011023860424757004,0.0009941738098859787,0.0010884664952754974,0.0012389589101076126,0.0010333172976970673,0.0010986905544996262,0.0009151548147201538,0.0009803343564271927,0.0008576139807701111,0.0008970964699983597
test13.c,test13.c,0.0010591540485620499,0.0009458493441343307,0.0011726226657629013,0.0011283140629529953,0.0010697413235902786,0.001102382317185402,0.0010964050889015198,0.0011439826339483261,0.0011334307491779327,0.0011806860566139221,0.0010996349155902863,0.0011986438184976578
test1.c,test1.c,0.001370217651128769,0.0011860597878694534,0.0010095220059156418,0.0011277850717306137,0.0010963883250951767,0.0011287648230791092,0.0012197792530059814,0.0010525919497013092,0.001135900616645813,0.0011994242668151855,0.0010662171989679337,0.0011271703988313675
test2.c,test2.c,0.001120803877711296,0.0012317746877670288,0.0010746140033006668,0.0009872205555438995,0.00110589899122715,0.00102892704308033,0.0011249948292970657,0.0010930020362138748,0.0012112073600292206,0.0011450648307800293,0.0012052785605192184,0.0012320410460233688
test3.c,test3.c,0.001323280856013298,0.0013706497848033905,0.0012519527226686478,0.001324610784649849,0.0013073869049549103,0.00139683298766613,0.001322820782661438,0.0014182347804307938,0.0013746339827775955,0.0014192797243595123,0.0013206079602241516,0.0013469420373439789
test4.c,test4.c,0.0010600946843624115,0.0010071620345115662,0.0011518094688653946,0.0012067947536706924,0.0012266114354133606,0.0010430756956338882,0.001100311055779457,0.0010117311030626297,0.0010854601860046387,0.0010528434067964554,0.00104437954723835,0.0010630134493112564
test5.c,test5.c,0.0010413601994514465,0.0009427890181541443,0.0009068399667739868,0.0012139622122049332,0.0013240668922662735,0.0010471362620592117,0.0010182056576013565,0.0010364558547735214,0.0011749137192964554,0.001084648072719574,0.0009758155792951584,0.0011225603520870209
test6.c,test6.c,0.001166192814707756,0.001116640865802765,0.0011606812477111816,0.0010075699537992477,0.0010005179792642593,0.0010960791260004044,0.0011311769485473633,0.0010549426078796387,0.0010835379362106323,0.0010613799095153809,0.0011612791568040848,0.0009063929319381714
test7.c,test7.c,0.0010990966111421585,0.0011647306382656097,0.0012113172560930252,0.001064574345946312,0.0011921580880880356,0.001114947721362114,0.0012403037399053574,0.0012625455856323242,0.0012212079018354416,0.0012269895523786545,0.0010569877922534943,0.0011713393032550812
test8.c,test8.c,0.0012013968080282211,0.001273375004529953,0.0010246634483337402,0.0009966734796762466,0.001010226085782051,0.0010342039167881012,0.0011435989290475845,0.0008849445730447769,0.0011556446552276611,0.0010077692568302155,0.0010296516120433807,0.0010804738849401474
test9.c,test9.c,0.0008730180561542511,0.0009282417595386505,0.0009618513286113739,0.0009139720350503922,0.00090770423412323,0.0008794795721769333,0.0009746253490447998,0.0009210146963596344,0.0010507162660360336,0.0011956971138715744,0.0011730734258890152,0.0009400155395269394
toy.c,toy.c,0.0011932067573070526,0.0010881107300519943,0.0010367389768362045,0.0009115263819694519,0.0009233560413122177,0.0011215675622224808,0.0010790452361106873,0.0011696238070726395,0.0011275745928287506,0.0011145006865262985,0.0011462531983852386,0.0012104026973247528
